A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
Vanessa	[0]/vE'nesE	n. 瓦内萨（女子名）
Vanished	[0]/'vAniFd	n. 销声匿迹，无影无踪（美国电视连续剧剧名）
Vaughan	[3A]/vO:n/	沃恩（姓氏，男子名）
Veda	[3A]/'veidE/	n. 吠陀经；吠陀本集（印度最古老的宗教文献和文学作品的总称）
Vega	[3A]/'veIgE/	n. [天] 织女星
Vegas	[0]/veigEs	n. 维加斯
Vela	[3A]/'viDlE/'vilE	n. [天] 船帆座（南天星座名）
Velcro	[3A]/'velkrEu/	n. 维可牢（一种尼龙搭扣的商标名称）
Venetian	[3A]//vE'niFEn	adj. 威尼斯的；威尼斯人的；威尼斯文化的；威尼斯风格的
Venezia	[3A]/ve'netsjB:/	n. （意）威尼斯（等于Venice）
Venezuela	[3A]/,veni'zweilE/	n. 委内瑞拉
Venice	[3A]/'venis/	n. 威尼斯（意大利港市）
Venn	[0]/ven	n. 维恩图（等于Venn diagram）
Venus	[3A]/'viDnEs/'vinEs	n. [天] 金星；维纳斯（爱与美的女神）
Venusian	[3A]/vi'nju:siEn/	adj. 金星的，太白星的
Verde	[3A]/vE:d/	n. 佛得角（塞内加尔西部）
Vergil	[3A]/'vE:dGil/	n. 弗吉尔（古罗马诗人）
Vermont	[3A]/vE:'mOnt/	n. 佛蒙特州（美国州名，略作VT）
Vern	[0]/vE:n	n. 弗恩（男子名，等于Vernon）
Verna	[0]/'vE:nE	n. 弗娜（女子名）
Vernon	[3A]/'vE:nEn/	n. 弗农（男子名）
Verona	[3A]/vE'rEunE/	n. 维罗那（意大利城市）
Veronica	[3A]/vE'rLnIkE/	n. 维罗妮卡（女子名）；通过Gopher使用的一种自动搜索服务；印有耶稣面像的织物
Vesuvius	[3A]/vi'su:vjEs/	n. 维苏威火山（意大利西南部）
Vichy	[3A]/'viFi:/	n. 维希（法国城市）
Vicky	[0]/'viki	n. 维姬（女子名）
Victoria	[3A]/vIk'tODrIE/vIk'torIE	n. 维多利亚（女子名）
Victorian	[3A]/vik'tO:riEn/	adj. 维多利亚女王时代的；英国维多利亚女王时代的
Vida	[3A]/'vi:dE/	n. 维达（女子名，Davida 的昵称）
Vienna	[3A]//vI'CnE	n. 维也纳（奥地利首都）
Viennese	[3A]/,viE'ni:z/	adj. 维也纳的；维也纳人的；维也纳式的
Viet	[3A]/vjet/	n. 越南；越南人
Vietnam	[3A]/,vjet'nAm/	n. 越南（南亚国家）
Vietnamese	[3A]/,vjetnE'mi:z/	n. 越南人；越南语
Vigo	[3A]/'vi:ɡEu/	n. 比戈（西班牙西北部港市）
Viking	[0]/'vaikiN	n. 北欧海盗
Vince	[0]/vins	n. 文斯（男子名，Vincent的昵称）
Vincent	[3A]/'vinsEnt/	n. 文森特（男名）
Vinci	[0]/'vinsi	n. 达芬奇（姓氏，意大利的著名美术家、雕刻家、科学家、建筑家）
Vinson	[3A]/'vinsn/	n. 文森（姓氏）
Virgil	[3A]/'vE:dGil/	n. 维吉尔（男子名，古罗马诗人）
Virginia	[3A]/vE(:)'dGinjE/	n. 弗吉尼亚（女子名）；弗吉尼亚州
Virginian	[0]/vE'dGinjEn	n. 弗吉尼亚州的人
Vishnu	[3A]/'viFnu/	n. 毗瑟挐（守护神，印度教主神之一）
Vito	[0]/'vi:tEu	n. 维托（男子名）
Vivian	[3A]/'viviEn/	n. 维维安（女子名）
Vlog	[0]/v'lOg	n. 视频博客
Vodafone	[0]/'vOdEfEun	n. 沃达丰（英国电信企业）
Volk	[0]/fO:lk	n. （德）人民；民族
Volkswagen	[0]/'fO:lks,va:gEn	n. 大众汽车（财富500强公司之一）
Voltaire	[0]/vOl'ter	n. 伏尔泰（法国启蒙思想家、哲学家、作家、历史学家）
Volvo	[0]/'vOlvEu	n. 沃尔沃（汽车品牌，总部设在瑞典）
Vulcan	[3A]/'vRlkEn/	n. 伏尔甘（火和锻冶的神）
WACO	[0]/'weikEu	abbr. 世界空运组织（World Air Cargo Organization）
WAP	[0]/wAp	abbr. 无线应用协议（Wireless Application Protocol）；工作分配计划（Work Assignment Plan）
WO	[0]/wo	abbr. 准尉军官（warrant officer）；陆军部（war office）
WTO	[0]/,dRblju: ti: 'Eu	abbr. 世界贸易组织（World Trade Organization）；世界旅游组织（World Tourism Organization）；世界厕所组织（World Toilet Organization）；华沙条约组织（Warsaw Treaty Organization）
WU	[0]/wu:	abbr. 西联（Western Union）；工作单位（Work Unit）；武汉航空公司
WWW	[0]/,dRblju: dRblju: 'dRblju:	abbr. 万维网（World Wide Web）；世界气象监视网（World Weather Watch）
WYSIWYG	[0]/'wIzI'wIg	abbr. 所见即所得（What You See Is What You Get）
Waals	[0]/wO:lz	（荷兰物理学家；曾获1910年诺贝尔物理学奖）瓦尔斯（姓氏）
Wagner	[3A]/'wa:gnE/	n. 瓦格纳（姓氏）；瓦格纳（德国歌剧家，作曲家）
Waite	[3A]/weit/	n. 韦特（人名）
Wakefield	[3A]/'weikfi:ld/	n. 韦克菲尔德（英格兰北部城市）
Waldo	[3A]/'wODldEJ/	n. 沃尔多（男子名）
Wales	[3A]/weilz/	n. 威尔士（英国大不列颠岛西南部地区）
Walkman	[0]/'wOkmEn	n. 随身听（商标名称）
Wallace	[3A]/'wOlis/	n. 华莱士（男子名）
Wallis	[0]/'vB:lis	n. 沃利斯（姓氏）
Walpole	[3A]/'wO:lpEul/	n. 沃波尔（姓氏）
Walsh	[0]/wO:lF	n. 沃尔什（姓氏）
Walt	[0]/wO:lt	n. 沃尔特（人名）
Walter	[3A]//'vBltM	n. 沃尔特（男子名）
Waltham	[3A]/'wO:lZEm/	n. 沃尔瑟姆（英国一城市）
Walton	[3A]/'wO:ltEn/	n. 沃尔顿（男子姓氏）
Wang	[0]/wang	n. 王（姓氏）；王安电脑公司
Warcraft	[0]/'wOkrAft	n. 魔兽争霸（游戏名称）
Warsaw	[3A]/'wO:sO:/	n. 华沙（波兰首都）
Washington	[3A]/'wOFiNtEn/	n. 华盛顿（美国州名，美国城市名，美国第一任总统，姓氏）
Waterloo	[3A]/,wO:tE'lu:/	n. 滑铁卢（比利时城镇）；比喻惨败，致命的打击
Watkins	[0]/'wOtkinz	n. 沃特金斯
Watson	[3A]/'wOtsn/	n. 沃森（姓氏）；屈臣氏（名牌连锁店）
Watts	[3A]/wOts/	n. 瓦特（功率单位）
Wayne	[3A]/'wein/	n. 韦恩（男子名）
Website	[0]/'wCbsaIt	n. 网站（全球资讯网的主机站）
Webster	[3A]//'wCbstM	n. 韦伯斯特（姓氏或男子名）
Wednesday	[3A]/'wenzdeI; -dI/'wCnzdI	n. 星期三
Weeks	[0]/wi:ks	n. 威克斯（姓氏）
Welch	[3A]/welF/wCltF	n. 韦尔奇（姓氏）
Welcom	[0]	n. 惠康（超市名称）
Weldon	[0]/'weldEn	n. 韦尔登（男子名）
Weller	[0]/'welE	n. 美国威乐（公司名）；韦勒（姓氏）
Welles	[3A]/welz/	n. 威尔斯（姓氏）
Wellesley	[0]/'welizli	n. 韦尔兹利（姓氏）
Welling	[0]/'weliN	n. 威林（姓氏）；威灵电机（商品名称）
Wellington	[3A]/'welINtEn/'wClINtEn	n. 惠灵顿（新西兰首都）
Wells	[3A]//wClz	n. 威尔斯（姓氏）
Welsh	[3A]/welF/wClF	adj. 威尔士的；威尔士人的；威尔士语的
Wendell	[0]/'wendEl	n. 温德尔（男子名）
Wendy	[0]/'wendi	n. 温迪（女子名）
Werner	[0]/'wE:nE	n. 维尔纳（男子名）
Wesley	[3A]/'wezli; 'wes-/	n. 韦斯利（男子名）
Wesleyan	[3A]/'wezliEn; 'wes-/	adj. 卫斯理公会派的；约翰卫斯理的
Wharton	[3A]/'(h)wO:tn/	n. 沃顿（姓氏）；沃顿商学院
Whipple	[0]/'wipl	n. 惠普尔（姓氏）
Whitaker	[0]/'hwitEkE	n. 惠特克（姓氏）
Whitman	[3A]/'(h)witmEn/	n. 惠特曼（姓氏）
Whitney	[3A]//'hwItni	n. 惠特尼（女子名）；惠特尼山（位于美国加利福尼亚州东部）
Whittier	[3A]/'hwitiE/	n. 惠蒂尔（姓氏）
Wieland	[3A]/'wiE'lAnd/	n. 维兰德（姓氏）；维兰德（Heinrich，1877-1957，德国化学家，曾获1927年诺贝尔化学奖）
Wien	[3A]/vi:n/	n. 维也纳（奥地利首都）
Wilbur	[3A]/'wilbE/	n. 威尔伯（男子名，等于Wilber）
Wilcox	[0]/'wilkOks	n. 威尔科特斯（姓氏）
Wilfred	[0]/'wilfrid	n. 威尔弗雷德（男子名）
Wilhelm	[3A]/'vilhelm; 'wil-/	n. 威廉（William的德语形式，男子名）
Wilkes	[3A]/wilks/	n. 威尔克斯（南极洲地名）
Wilkins	[3A]/'wilkinz/	n. 威尔金斯（姓氏，英国生物物理学家）
Wilkinson	[0]/'wilkinsn	n. 威尔金森（姓氏）
Willa	[0]/'wilE	n. 威拉（女子名，等于Wilhelmina）
Willard	[3A]/'wilEd/	n. 威拉德（男子名）
William	[3A]/'wiljEm/	n. 威廉（男子名）；钞票，纸币
Williams	[3A]/'wiljEmz/	n. 威廉姆斯（男子名）
Williamsburg	[3A]/'wiljEmzbE:ɡ/	n. 威廉斯堡（美国弗吉尼亚州东南部城市）
Williamson	[0]/'wiliEmsn	n. 威廉姆森（姓氏名）
Willie	[0]/'wili	n. 威利（男子名， William的昵称）
Willis	[3A]/'wilis/	n. 威利斯（姓氏，男名）
Wilma	[3A]/'wilmE/	n. 威尔玛（女子名，等于Wilhelmina）
Wilson	[3A]/'wilsEn/	n. 威尔逊（姓氏）
Wiltshire	[0]/'wiltFE	n. 威尔特郡（英格兰南部的一郡）
Winchester	[3A]/'wIntFIstE/'wIn,tFIstM	n. 温彻斯特（英格兰南部城市）
Windows	[0]/'wIndoz	n. 微软公司生产的“视窗”操作系统
Windsor	[3A]/'winzE/	n. 温莎（地名，伦敦西方的城市）
Winfield	[0]/'winfi:ld	n. 温菲尔德（男子名）
Winnie	[0]/'wini:	n. 维尼（迪斯尼卡通角色名）；温妮（人名）
Winnipeg	[3A]/'winipeɡ/	n. 温尼伯（加拿大城市）
Winslow	[3A]/'winzlEu/	n. 温斯洛（男子名）
Winston	[0]/'winstEn	n. 温斯顿（姓氏，男子名）
Wisconsin	[3A]/wis'kOnsin/	n. 威斯康星州（美国州名）
Witt	[0]/wit	n. 威特（男子名）
Wolfe	[3A]/wulf/	n. 乌尔夫（姓氏，男子名）
Wolfgang	[0]/'wulfɡAN	n. 沃尔夫冈（男子名）
Woodrow	[3A]/'wudrEu/	n. 伍德罗（男子名）
Woodstock	[0]/'wudstOk	n. 伍德斯托克音乐节（每年8月在纽约州东南部Woodstock举行的摇滚音乐节）
Woolf	[3A]/wulf/	n. 伍尔夫（英国作家）；伍尔夫（姓氏）
Woolworth	[3A]/'wulwE:Z/	n. 伍尔沃斯（姓氏）
Wordsworth	[3A]/'wE:dzwE(:)Z/	n. 华滋华斯（英国诗人）
Wright	[1]/raIt	n. 赖特（姓氏）
Wuhan	[3A]/'wu:'hB:n/	n. 武汉（中国湖北省省会）
Wushu	[0]/'wJ'FJ	n. 武术
Wuxi	[0]/'wu:'Fi	n. 无锡（中国江苏省城市）
Wyatt	[3A]/'waiEt/	n. 怀亚特（男子名，等于Wyat）
Wynn	[0]/win	n. 永利（酒店名）
Wyoming	[0]/wai'EumiN	n. 美国怀俄明州
X-ray	[3A]/'eks'reI/'Cks're      	vt. 用X光线检查
XL	[0]/,eks 'el	abbr. 特大号（extra large）
XML	[0]/,eksem'el	abbr. 可扩展标示语言（Extensive Makeup Language）
XP	[0]/'kai'rEu; 'ki:-	abbr. 加快费已付（Express Paid）；运用优先权（Exercise Priority）
Xavier	[3A]/'zeiviE; 'zA-; 'zeivjE/	n. 泽维尔（男子名）
Xhosa	[3A]/'kO:sE; 'kEu-/	n. 科萨人使用的班图语；科萨人（居住在南非开普省的牧民）
Xmas	[3A]/'krismEs; 'eksmEs/	n. 圣诞节（等于Christmas）
Xray	[0]/'eks,rei	n. X光
YS	[0]/waiz	abbr. 屈服强度（Yield Strength）；黄斑（Yellow Spot）
Yahoo	[3A]/'jBDhuD; jE'huD/'jBhu	n. 美国Yahoo公司（提供互联网的信息检索服务）
Yakima	[3A]/'jAkimE/	n. 雅吉瓦人（住在美国的印第安部族人）
Yale	[0]/jeil	n. 耶鲁（男子名）；（美）耶鲁大学；耶鲁弹簧锁（等于Yale lock）
Yalta	[3A]/'jO:ltE; 'jB:ltB:/	n. 雅尔塔（前苏联港市）
Yama	[0]/'jAmE	n. 阎罗王
Yana	[0]/'jAnE	n. 雅娜（女子名）；雅拿河（在苏联亚洲境内，北流入Laptev海）
Yang	[3A]/jAN/jAN	n. 杨（姓氏）
Yangtze	[3A]/'jANtsi/	n. 长江，扬子江
Yank	[3A]/jANk/jANk	n. 美国人（等于Yankee）
Yankee	[3A]/'jANki/	n. 美国佬，美国人；洋基队（美国棒球队名）
Yanks	[0]/jANks	n. 美国佬（Yank的复数）；纽约扬基棒球队（等于New York Yankees）
Yao	[0]/jau	n. 尧（传说中的中国古代父糸氏族社会后期部落联盟领袖）
Yaqui	[3A]/'jB:ki/	n. 雅基族（一印第安族）；雅基河
Yarmouth	[3A]/'jB:mEZ/	n. 雅茅斯（加拿大东南部港市、美国马萨诸塞州东南部城市）
Yeats	[3A]//jets	n. 叶芝；耶茨（姓氏，爱尔兰诗人及剧作家）
Yellowstone	[3A]/'jelEustEun/	n. 黄石公园（美国）
Yemen	[3A]/'jemEn/	n. 也门（西南亚国家）
Yerkes	[0]/'jE:ki:z	n. 耶基斯（姓氏）
Yokohama	[3A]/,jEukE'hB:mE; 'jO:kO:'hB:mB:/	n. 横滨（日本一城市名）
Yonkers	[3A]/'jONkEz/	n. 扬克斯（位于美国纽约市的郊区）
York	[3A]/jODk/	n. 约克郡；约克王朝
Yorkshire	[3A]//'jOrkFM	n. 约克郡（英格兰东北的一郡）
Yorktown	[3A]/'jO:taun/	n. 约克城（美国弗吉尼亚州东南部城镇）
Yorky	[0]/'jO:ki	（狗名）
Yost	[0]/jEust	约斯特（姓氏）
YouTube	[0]/'ju: 'tju:b	n. 视频网站（可以让用户免费上传、观赏、分享视频短片的热门视频共享网站）
Youngstown	[3A]/'jRNztaun/	n. 扬斯敦（美国俄亥俄州东北部城市）
Yukon	[3A]//'jJkBn	n. 育空（加拿大西北部地区）；（美洲）育空河
Yuppie	[3A]/'jRpI/'jRpi	n. （美）雅皮士（属于中上阶层的年轻专业人士）
Yvette	[0]/i'vet; i:-	n. 伊薇特（女子名）
Z	[3A]/zi:/	n. 英语字母表的第二十六个字母，小写为 z
ZO	[0]/zEu	abbr. 无输出（zero output）
Zagreb	[3A]/'zB:ɡreb/	n. 萨格勒布（南斯拉夫西北部城市）
Zaire	[3A]/zaI'IE/	n. 扎伊尔（非洲中西部一共和国）
Zambia	[3A]/'zAmbiE/	n. 赞比亚（非洲中南部国）
Zane	[0]/zein	n. 赞恩（John的异体）
Zara	[0]/'zB:rB:; 'dzB:-	n. 扎拉（南斯拉夫西部港市扎达尔）；西班牙一品牌
Zealand	[3A]/'zi:lEnd/	n. 西兰岛（丹麦最大的岛）
Zeus	[3A]/zju:s/	n. 宙斯（希腊神话中的主神）
Zhou	[0]/dGEu	n. 周（中国姓氏）；周朝（中国古代王朝）
Ziegler	[0]/'zi:ɡlE	n. 齐格勒（德语人名）；捷格罗白葡萄酒
Zimmer	[0]/'zImM	n. 齐默（商标名），年老、体 弱者使用的助行金属架
Zimmerman	[0]/'zimEmEn	n. 齐默尔曼（姓氏）
Zionism	[3A]//'zaIE'nIzEm	n. 犹太复国主义；锡安运动
Zionist	[0]/'zaiEnist	n. 犹太复国主义者
Zippo	[0]/'zipEu	n. 汽油金属打火机
Zomba	[3A]/'zOmbE/	n. 松巴（马拉维首都）
Zoroaster	[3A]/'zO:rEu,AstE/	n. 琐罗亚斯德，古代波斯国国教拜火教之祖
Zurich	[3A]/'zuEritF/	n. 苏黎世（瑞士北部城市）
a	[3A]/E; eI/e	art. 一；任一；每一
a.m	[0]	abbr. （拉）午前；早上（ante meridiem）
a1	[0]/'ei'wRn	adj. 第一等的
a2	[0]	n. 主动脉第二声；亚细亚流感病毒
a3	[0]	n. A3号纸（尺寸为420×297mm的）
aa	[3A]/'BDBD/	abbr. 汽车协会（Automobile Association）；嗜酒者互诫协会（Alcoholics Anonymous）；瘾君子互诫协会（Addicts Anonymous）；会计学准学士（Associate in Accounting）
aaa	[0]	abbr. 美国汽车协会（American Automobile Association）；美国仲裁协会（American Arbitration Association）；美国广告学会（American Academy of Advertising）；业余体育协会（Amateur Athletic Association）；美国人类学协会（American Anthropological Association）
aaaa	[0]	abbr. 美国广告代理商协会（The American Association of Advertising Agencies）
aaaaa	[0]	n. 五星级
aac	[0]	abbr. 自动振幅控制（automatic ampltiude control）
aardvark	[3A]/'BDdvBDk/	n. [脊椎] 土豚；非洲食蚁兽
aarp	[0]	abbr. 美国退休者协会（American Association of Retired Persons）；Apple Talk地址转换协议（AppleTalk Address Resolution Protocol）
aas	[0]	abbr. 原子吸收分光光度法（Atomic Absorption Spectroscopy）
aback	[3A]/E'bAk/E'bAk	adv. 向后；处于顶风位置；向后地
abacus	[3A]/'AbEkEs/'AbEkEs	n. 算盘
abaft	[3A]/E'bBDft/E'bAft	prep. 在…后面
aban	[0]	n. 波斯历八月
aband	[0]	n. 壹个组合（乐队）
abandon	[3A]/E'bAnd(E)n/E'bAndEn	n. 狂热；放任
abandonment	[3A]/E'bAndEnm(E)nt/E'bAndEnmEnt	n. 抛弃；放纵
abase	[3A]/E'beIs/E'bes	vt. 使…谦卑；降低…的品格；降低…的地位
abasement	[0]/,sClfE'besmEnt	n. 身分低微；屈尊；降低
abash	[3A]/E'bAF/E'bAF	vt. 使困窘；使羞愧；使局促不安
abashed	[3A]/E'bAFt/	adj. 不安的；窘迫的；尴尬的
abate	[3A]/E'beIt/E'bet	vt. 减轻；减少；废除
abatement	[3A]/E'beItm(E)nt/E'betmEnt	n. 减少；消除；减轻
abating	[0]/E'bet	n. 硬度降低
abb	[3A]/Ab/	n. 纬纱；横丝；等外羊毛
abbe	[0]/'Abi, 'B:bE	n. 神父，僧侣；男修道院院长
abbey	[3A]/'AbI/'Abi	n. 大修道院，大寺院；修道院中全体修士或修女
abbot	[3A]/'AbEt/'AbEt	n. 男修道院院长；大寺院男住持
abbreviate	[3A]/E'briDvIeIt/E'brivI'et	vt. 缩写，使省略；使简短
abbreviated	[3A]/E'briDvIeItId/E'brivI,etId	adj. 简短的；小型的；服装超短的
abbreviation	[3A]/EbriDvI'eIF(E)n/E'brivI'eFEn	n. 缩写；缩写词
abbs	[0]	abbr. 建筑论坛
abcd	[3A]//	abbr. 加快收寄投递系统（Accelerated Business Collection and Delivery）
abdicate	[3A]/'AbdIkeIt/'AbdIket	vi. 退位；放弃
abdication	[0]/,AbdE'keFEn	n. 辞职；退位
abdomen	[3A]/'AbdEmEn; Ab'dEJmEn/'AbdEmEn	n. 腹部；下腹；腹腔
abdominal	[3A]/Ab'dLmIn(E)l/Ab'dBmEnl	adj. 腹部的；有腹鳍的
abduct	[3A]/Eb'dRkt/Ab'dRkt	vt. 绑架；诱拐；使外展
abduction	[3A]/Eb'dRkFn/Ab'dRkFEn	n. 诱拐，绑架；诱导
abductor	[0]/Ab'dRktM	n. 诱拐者
abdul	[0]	n. 阿卜杜勒（人名）
abeam	[3A]/E'biDm/E'bim	adv. 正横（与船的龙骨成直角）；正横着
abed	[3A]/E'bed/E'bCd	adv. 在床上
abend	[0]/E'bend	n. 异常结束；异常中止
aber	[0]/'AbE	n. 河口，汇流点
aberrant	[3A]/E'ber(E)nt/A'bCrEnt	adj. 异常的；畸变的；脱离常轨的；迷乱的
aberration	[3A]/,AbE'reIF(E)n/'AbE'reFEn	n. 失常；离开正路，越轨
abet	[3A]/E'bet/E'bCt	vt. 煽动，教唆；支持
abets	[0]	n. 飞机信标电子试验装置
abetter	[0]/E'betE	n. 怂恿者；唆使者
abeyance	[3A]/E'beIEns/E'beEns	n. 中止，停顿；归属待定，暂搁
abhor	[3A]/Eb'hOD/Eb'hOr	vt. 痛恨，憎恶
abhorrent	[3A]/Eb'hLr(E)nt/Eb'hOrEnt	adj. 可恶的；厌恶的；格格不入的
abhorring	[0]	v. 憎恨（厌恶）
abi	[0]	abbr. 联合商业情报（Allied Business Intelligence）；英国保险业协会（The Association of British Insurers）；踝肱指数（Ankle Brachial Index）；应用系统二进制接口（application binary interfaces）
abide	[3A]/E'baId/E'baId	vt. 忍受，容忍；停留
abiding	[3A]/E'baIdIN/E'baIdIN	adj. 持久的，永久的；不变的
abilities	[3A]//E'bIlEti	n. 能力，才能（ability的复数形式）
ability	[3A]/E'bIlItI/E'bIlEti	n. 能力，能耐；才能
abit	[0]	abbr. 巴西纺织工业同业公会（Brazilian Textile and Apparel Industry Association）；升技电脑公司（世界知名主板市场厂商）
abject	[3A]/'AbdGekt/'AbdGCkt	adj. 卑鄙的；可怜的；不幸的
abjection	[0]/Ab'dGCkFEn	n. 落魄；抛弃；卑鄙；屈辱
abjure	[3A]/Eb'dGJE; Eb'dGOD/Eb'dGJr	vt. 发誓放弃；公开放弃；避免
ablate	[3A]/Ab'leIt/Ab'let	vt. 烧蚀；切除；使脱落
ablating	[0]	adj. 烧蚀的
ablation	[3A]/E'bleIF(E)n/E'bleFEn	n. [水文] 消融；切除
ablative	[3A]/'AblEtIv/'AblEtIv	adj. 离格的；消融的
ablaze	[3A]/E'bleIz/E'blez	adj. 着火的；闪耀的；激昂的
able	[3A]/'eIb(E)l/'ebl	adj. 能；[经管] 有能力的；能干的
ablution	[3A]/E'bluDF(E)n/Eb'lJFEn	n. 洗礼；洗澡（常用复数）；斋戒沐浴
ably	[3A]/'eIblI/	adv. 巧妙地；精明能干地
abnegate	[3A]/'AbnIgeIt/	vt. 放弃；舍弃；禁忌
abnegation	[3A]/AbnI'geIF(E)n/,AbnI'ɡeFEn	n. 拒绝；放弃；克制
abnormal	[3A]/Eb'nODm(E)l/Ab'nOrml	adj. 反常的，不规则的；变态的
abnormality	[3A]/AbnOD'mAlItI; -nE'mAlItI/,AbnOr'mAlEti	n. 异常；畸形，变态
abnormally	[0]/Ab'nOrmEli	adv. 反常地；变态地；不规则地
aboard	[3A]/E'bODd/E'bOrd	adv. 在飞机上；[船] 在船上；在火车上
abode	[3A]/E'bEJd/E'bod	n. 住处；营业所
abolish	[3A]/E'bLlIF/E'bBlIF	vt. 废除，废止；取消，革除
abolisher	[0]	n. 废除者；撤销者
abolishment	[0]/E'bBlIFmEnt	n. [法] 废止，革除；取消
abolition	[3A]/AbE'lIF(E)n/,AbE'lIFEn	n. 废除；废止
abolitionism	[0]/,AbE'lIFEn,IzEm	n. 废除主义；废奴主义
abolitionist	[3A]/AbE'lIF(E)nIst/,AbE'lIFEnIst	n. 废奴主义者；废除主义者
abominate	[3A]/E'bLmIneIt/E'bBmInet	vt. 痛恨；憎恶
aboriginal	[3A]/AbE'rIdGIn(E)l/,AbE'rIdGEnl	adj. 土著的；原始的
aborigine	[3A]/AbE'rIdGIniD/'AbE'rIdGEni	n. 土著；土著居民
abort	[3A]/E'bODt/E'bOrt	vi. 流产；堕胎；夭折；发育不全
aborted	[3A]/E'bODtId/	adj. 流产的；夭折的
aborting	[0]	n. 异常终止
abortion	[3A]/E'bODF(E)n/E'bOrFEn	n. 流产，小产；流产的胎儿
abortive	[3A]/E'bODtIv/E'bOrtIv	adj. 失败的；流产的；堕胎的
abound	[3A]/E'baJnd/E'baJnd	vi. 富于；充满
abounding	[0]/E'baundiN	adj. 丰富的；大量的
about	[3A]/E'baJt/E'baJt	prep. 关于；大约
above	[3A]/E'bRv/E'bRv	prep. 超过；在……上面；在……之上
above-mentioned	[3A]/E,bRv'menFEnd/	adj. 上述的，上面提到的
aboveboard	[3A]/E,bRv'bODd/E'bRv'bord	adv. 光明正大地；率直地
aboveground	[3A]/E'bRv,ɡraJnd/E'bRv,graJnd	adv. 在地面上；未被埋葬地
abr	[0]	abbr. 丙烯酸丁二烯橡胶（Acrylate Butadience Rubber）
abra	[0]/E'bra:	n. 磨料；[地质] 岩洞
abrade	[3A]/E'breId/E'bred	vt. 擦伤；磨损
abrading	[0]/E'bred	n. 研磨
abrasion	[3A]/E'breIG(E)n/E'breGEn	n. 磨损；磨耗；擦伤
abrasive	[3A]/E'breIsIv/E'bresIv	adj. 粗糙的；有研磨作用的；伤人感情的
